source_url,destination_url,anchor_text,link_type
https://kraftboxpack.com/,https://kraftboxpack.com,,navigation
https://kraftboxpack.com/,https://kraftboxpack.com/,Home,navigation
https://kraftboxpack.com/,https://kraftboxpack.com/product-category/colored-kraft-boxes/,Colored Kraft Boxes,navigation
https://kraftboxpack.com/,https://kraftboxpack.com/product-category/kraft-gift-specialty-boxes/,Kraft Gift & Specialty Boxes,navigation
https://kraftboxpack.com/,https://kraftboxpack.com/product-category/kraft-packaging-boxes/,Kraft Packaging Boxes,navigation
https://kraftboxpack.com/,https://kraftboxpack.com/product-category/kraft-wrapping-accessories/,Kraft Wrapping & Accessories,navigation
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-thermal-kraft-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-thermal-kraft-boxes/,Kraft Thermal Kraft Boxes,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/?add-to-cart=3095,Add to cart,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-beard-oil-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-beard-oil-boxes/,Kraft Beard Oil Boxes,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/?add-to-cart=3174,Add to cart,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-lip-balm-packaging-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-lip-balm-packaging-boxes/,Kraft Lip Balm Packaging Boxes,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/?add-to-cart=3172,Add to cart,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-soap-sleeve-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-soap-sleeve-boxes/,Kraft Soap Sleeve Boxes,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/?add-to-cart=3171,Add to cart,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-wax-melt-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-wax-melt-boxes/,Kraft Wax Melt Boxes,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/?add-to-cart=3169,Add to cart,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-candle-sleeve-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-candle-sleeve-boxes/,Kraft Candle Sleeve Boxes,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/?add-to-cart=3168,Add to cart,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-makeup-palette-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-makeup-palette-boxes/,Kraft Makeup Palette Boxes,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/?add-to-cart=3166,Add to cart,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-skincare-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-skincare-boxes/,Kraft Skincare Boxes,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/?add-to-cart=3163,Add to cart,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-perfume-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-perfume-boxes/,Kraft Perfume Boxes,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/?add-to-cart=3162,Add to cart,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-subscription-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-subscription-boxes/,Kraft Subscription Boxes,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/?add-to-cart=3144,Add to cart,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-pr-packaging-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-pr-packaging-boxes/,Kraft PR Packaging Boxes,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/?add-to-cart=3145,Add to cart,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-bouquet-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-bouquet-boxes/,Kraft Bouquet Boxes,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/?add-to-cart=3143,Add to cart,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-candy-favor-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-candy-favor-boxes/,Kraft Candy Favor Boxes,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/?add-to-cart=3141,Add to cart,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-marketing-kit-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-marketing-kit-boxes/,Kraft Marketing Kit Boxes,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/?add-to-cart=3138,Add to cart,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-promotional-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-promotional-boxes/,Kraft Promotional Boxes,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/?add-to-cart=3137,Add to cart,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-invitation-boxes/,,product-grid
https://kraftboxpack.com/,https://kraftboxpack.com/product/kraft-invitation-boxes/,Kraft Invitation Boxes,product-grid
