"source","destination","configured_status","observed_status","single_hop","reason"
"/cart","/get-a-quote/","301","301","yes","Checkout retired in the quote model"
"/cart/","/get-a-quote/","301","301","yes","Checkout retired in the quote model"
"/checkout","/get-a-quote/","301","301","yes","Checkout retired in the quote model"
"/checkout/","/get-a-quote/","301","301","yes","Checkout retired in the quote model"
"/my-account","/contact-us/","301","301","yes","No customer accounts"
"/my-account/","/contact-us/","301","301","yes","No customer accounts"
"/product-category/Custom-Gift-Boxes/","/product-category/kraft-gift-specialty-boxes/custom-gift-boxes/","301","301","yes","Category URL written with display-name casing; WordPress resolved it case-insensitively"
"/product-category/Karft-Cosmetic-Boxes/","/product-category/kraft-packaging-boxes/karft-cosmetic-boxes/","301","301","yes","Category URL written with display-name casing; WordPress resolved it case-insensitively"
"/product-category/Kraft-Packaging-Boxes/","/product-category/kraft-packaging-boxes/","301","301","yes","Category URL written with display-name casing; WordPress resolved it case-insensitively"
"/product-category/Colored-Kraft-Boxes/","/product-category/colored-kraft-boxes/","301","301","yes","Category URL written with display-name casing; WordPress resolved it case-insensitively"
"/product-category/Kraft-Wrapping-&-Accessories/","/product-category/kraft-wrapping-accessories/","301","301","yes","Category URL written with display-name casing; WordPress resolved it case-insensitively"
"/product-category/Kraft-Gift-&-Specialty-Boxes/","/product-category/kraft-gift-specialty-boxes/","301","301","yes","Category URL written with display-name casing; WordPress resolved it case-insensitively"
"/shop","/products/","301","301","yes","Product archive consolidated at /products/"
"/shop/","/products/","301","301","yes","Product archive consolidated at /products/"
