"old_url","new_url","action","status","redirect_target","indexable","in_sitemap","note"
"https://kraftboxpack.com/","https://kraftboxpack.com/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/about-us/","https://kraftboxpack.com/about-us/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/cart/","https://kraftboxpack.com/get-a-quote/","301 redirect","301","/get-a-quote/","n/a","no","WooCommerce checkout retired; quote page is the equivalent action"
"https://kraftboxpack.com/checkout/","https://kraftboxpack.com/get-a-quote/","301 redirect","301","/get-a-quote/","n/a","no","WooCommerce checkout retired; quote page is the equivalent action"
"https://kraftboxpack.com/contact-us/","https://kraftboxpack.com/contact-us/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/my-account/","https://kraftboxpack.com/contact-us/","301 redirect","301","/contact-us/","n/a","no","No customer accounts on a static site"
"https://kraftboxpack.com/privacy-policy/","https://kraftboxpack.com/privacy-policy/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/product-category/colored-kraft-boxes/","https://kraftboxpack.com/product-category/colored-kraft-boxes/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/product-category/jewelry-accessories-boxes/","https://kraftboxpack.com/product-category/jewelry-accessories-boxes/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/product-category/kraft-apparel-boxes/","https://kraftboxpack.com/product-category/kraft-apparel-boxes/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/product-category/kraft-art-boxes/","https://kraftboxpack.com/product-category/kraft-art-boxes/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/product-category/kraft-cosmetic-boxes/","https://kraftboxpack.com/product-category/kraft-cosmetic-boxes/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/product-category/kraft-display-packaging/","https://kraftboxpack.com/product-category/kraft-display-packaging/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/product-category/kraft-electronics-boxes/","https://kraftboxpack.com/product-category/kraft-electronics-boxes/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/product-category/kraft-food-packaging/","https://kraftboxpack.com/product-category/kraft-food-packaging/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/product-category/kraft-gift-specialty-boxes/","https://kraftboxpack.com/product-category/kraft-gift-specialty-boxes/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/product-category/kraft-gift-specialty-boxes/custom-gift-boxes/","https://kraftboxpack.com/product-category/kraft-gift-specialty-boxes/custom-gift-boxes/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/product-category/kraft-industrial-packaging/","https://kraftboxpack.com/product-category/kraft-industrial-packaging/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/product-category/kraft-luxury-packaging/","https://kraftboxpack.com/product-category/kraft-luxury-packaging/","preserved (200)","200","","yes","yes",""
"https://kraftboxpack.com/product-category/kraft-packaging-boxes/","https://kraftboxpack.com/product-category/kraft-packaging-boxes/","preserved (200)","200","","yes","yes",""
